chr	start	end	strand	Gene_symbol
chr12	4378366	4382222	+	CCND2
chr12	4383193	4384405	-	CCND2-AS1
chr12	4430043	4430747	+	TIGAR
chr12	4554405	4554624	-	FGF6
chr12	4647844	4648053	+	RAD51AP1
chr12	4758177	4758431	+	NDUFA9
chr12	4918273	4919657	+	KCNA6
chr12	5018585	5021171	+	KCNA1
chr12	5153012	5154346	+	KCNA5
chr12	5539895	5540703	+	NTF3
chr12	5603587	5603990	+	NTF3
chr12	6309152	6310392	+	CD9
chr12	6419603	6420024	+	PLEKHG6
chr12	6492889	6493522	+	LTBR
chr12	6579555	6580429	-	VAMP1
chr12	6602360	6602586	+	NCAPD2
chr12	6643261	6644607	+	GAPDH
chr12	6664425	6665336	-	IFFO1
chr12	6676999	6677755	-	NOP2
chr12	6715500	6715829	-	CHD4
chr12	6756001	6756679	-	ACRBP
chr12	6772258	6772579	-	ING4
chr12	6798113	6798922	-	ZNF384
chr12	6809214	6809816	-	PIANP
chr12	6833058	6833491	+	COPS7A
chr12	6861821	6862405	-	MLF2
chr12	6875481	6876923	+	PTMS
chr12	6937570	6938639	+	P3H3
chr12	6961005	6961873	+	USP5
chr12	6976392	6977393	+	TPI1
chr12	6982319	6982936	-	SPSB2
chr12	7023261	7024089	+	ENO2
chr12	7036955	7037924	+	ATN1
chr12	7053149	7053927	+	C12orf57
chr12	7079500	7080129	+	EMG1
chr12	7125534	7126356	-	LPCAT3
chr12	7342074	7342417	+	PEX5
chr12	8025364	8025908	-	SLC2A14
chr12	8184964	8185616	+	FOXJ2
chr12	8234689	8235020	+	NECAP1
chr12	8332788	8333193	+	FAM66C
chr12	8395051	8396713	-	FAM86FP
chr12	8542555	8543334	-	LINC00937
chr12	8849963	8851403	+	RIMKLB
chr12	9066946	9067480	+	PHC1
chr12	9102150	9102803	-	M6PR
chr12	9217328	9217715	+	A2M-AS1
chr12	9392459	9392686	+	LINC00987
chr12	9436217	9436654	+	LOC642846
chr12	9600415	9601259	-	DDX12P
chr12	9800543	9800852	+	LOC374443
chr12	10365369	10365721	+	GABARAPL1
chr12	10765955	10766331	-	MAGOHB
chr12	10826531	10826786	-	STYK1
chr12	10875137	10876180	-	YBX3
chr12	11323771	11324331	+	SMIM10L1
chr12	11801853	11802218	+	ETV6
chr12	12419679	12420541	-	LRP6
chr12	12502942	12503465	-	MANSC1
chr12	12509911	12510428	+	BORCS5
chr12	12714633	12715200	-	DUSP16
chr12	12764751	12765205	+	CREBL2
chr12	12849067	12849270	-	GPR19
chr12	12869798	12871248	+	CDKN1B
chr12	12876630	12879002	+	APOLD1
chr12	12966123	12966349	+	DDX47
chr12	13044042	13044667	+	GPRC5A
chr12	13152819	13153084	+	HTR7P1
chr12	13197238	13197781	+	FAM234B
chr12	14518525	14518975	+	ATF7IP
chr12	14720248	14721093	+	PLBD1-AS1
chr12	14922877	14923974	-	HIST4H4
chr12	14927291	14928023	+	H2AFJ
chr12	14955991	14956471	+	C12orf60
chr12	15373986	15374514	-	RERG
chr12	15475318	15475901	+	PTPRO
chr12	15941718	15942740	-	EPS8
chr12	16034931	16035836	+	STRAP
chr12	16064080	16064534	+	DERA
chr12	19282641	19283901	+	PLEKHA5
chr12	19592183	19593685	+	AEBP2
chr12	20521616	20523122	+	PDE3A
chr12	21590469	21590785	+	PYROXD1
chr12	21654396	21654956	+	GOLT1B
chr12	21680408	21680982	+	SPX
chr12	21810488	21810766	-	LDHB
chr12	22199062	22199589	+	CMAS
chr12	22486835	22488666	-	ST8SIA1
chr12	22696780	22697728	-	C2CD5
chr12	22777988	22778301	+	ETNK1
chr12	24714956	24716243	-	SOX5
chr12	25055599	25056246	-	BCAT1
chr12	25101607	25102073	-	BCAT1
chr12	25348039	25348399	+	LYRM5
chr12	26278540	26279707	-	BHLHE41
chr12	26348260	26349130	+	SSPN
chr12	26985453	26986304	-	ITPR2
chr12	27091158	27091857	+	FGFR1OP2
chr12	27166996	27167464	-	TM7SF3
chr12	27175342	27175843	+	MED21
chr12	27396982	27397646	+	STK38L
chr12	27485683	27486676	+	ARNTL2
chr12	27863633	27864081	+	MRPS35
chr12	27932789	27933738	+	KLHL42
chr12	28123023	28123773	-	PTHLH
chr12	29302034	29302954	+	FAR2
chr12	29533446	29533916	-	ERGIC2
chr12	29542218	29542838	+	OVCH1-AS1
chr12	29935995	29937433	-	TMTC1
chr12	30848264	30849016	-	IPO8
chr12	30907359	30908245	+	LOC645485
chr12	30948548	30949757	+	LINC00941
chr12	31079243	31079878	+	TSPAN11
chr12	31226343	31227186	+	DDX11
chr12	31476717	31479466	+	FLJ13224
chr12	31742760	31744324	+	DENND5B-AS1
chr12	31881630	31882461	-	AMN1
chr12	31944806	31945230	-	H3F3C
chr12	32112161	32112833	+	KIAA1551
chr12	32259249	32260165	+	BICD1
chr12	32832130	32832978	+	DNM1L
chr12	32908374	32908981	-	YARS2
chr12	33049301	33050098	-	PKP2
chr12	33591763	33593050	-	SYT10
chr12	34175230	34175455	+	ALG10
chr12	38710392	38710643	+	ALG10B
chr12	39299248	39299629	-	CPNE8
chr12	39836211	39837499	-	KIF21A
chr12	40498962	40500017	-	SLC2A13
chr12	40618355	40618913	+	LRRK2
chr12	41086522	41087102	+	CNTN1
chr12	41582155	41582975	+	PDZRN4
chr12	42538125	42538902	-	GXYLT1
chr12	42631224	42632619	-	YAF2
chr12	42719761	42720119	+	PPHLN1
chr12	42876654	42878193	-	PRICKLE1
chr12	42982832	42983881	-	PRICKLE1
chr12	43944719	43946285	-	ADAMTS20
chr12	44152506	44152922	+	IRAK4
chr12	44199630	44200405	-	TWF1
chr12	44229710	44230164	+	TMEM117
chr12	45269830	45270835	-	NELL2
chr12	45444202	45445386	-	DBX2
chr12	45609713	45610752	+	ANO6
chr12	46120726	46124104	+	ARID2
chr12	46383561	46384756	-	SCAF11
chr12	46661054	46663408	-	SLC38A1
chr12	46765134	46766633	-	SLC38A2
chr12	46776731	46777856	+	LOC100288798
chr12	47473177	47474120	+	PCED1B
chr12	48099317	48099905	-	RPAP3
chr12	48152554	48153146	-	RAPGEF3
chr12	48166997	48167578	+	SLC48A1
chr12	48213109	48214188	-	HDAC7
chr12	48298645	48299537	-	VDR
chr12	48357195	48357507	+	TMEM106C
chr12	48397889	48398731	-	COL2A1
chr12	48499463	48500232	+	PFKM
chr12	48550824	48551518	-	ASB8
chr12	48577361	48578574	+	CCDC184
chr12	48723323	48723876	+	H1FNT
chr12	48744318	48745099	-	ZNF641
chr12	49075489	49076301	-	KANSL2
chr12	49110055	49110881	-	CCNT1
chr12	49182421	49182658	+	LOC100506125
chr12	49208205	49209439	+	CACNB3
chr12	49212162	49212642	+	CACNB3
chr12	49245656	49246173	-	DDX23
chr12	49318486	49319476	-	FKBP11
chr12	49350839	49351387	-	ARF3
chr12	49371690	49375550	+	WNT1
chr12	49390617	49392441	-	DDN
chr12	49412299	49412756	-	PRKAG1
chr12	49463441	49463989	-	RHEBL1
chr12	49487963	49488202	-	DHH
chr12	49504035	49504642	-	LMBR1L
chr12	49524072	49525492	-	TUBA1B
chr12	49582096	49582881	-	TUBA1A
chr12	49658246	49659175	+	TUBA1C
chr12	49688873	49691360	+	PRPH
chr12	49716630	49717018	+	TROAP
chr12	49729728	49731162	-	C1QL4
chr12	49738680	49740841	+	DNAJC22
chr12	49760221	49761127	+	SPATS2
chr12	49782965	49783193	+	LOC100335030
chr12	49931623	49933637	+	KCNH3
chr12	49961630	49962219	-	MCRS1
chr12	50016973	50017466	+	PRPF40B
chr12	50100442	50101587	-	FMNL3
chr12	50135029	50136043	+	TMBIM6
chr12	50221558	50222609	+	BCDIN3D-AS1
chr12	50236638	50236975	-	BCDIN3D
chr12	50297580	50297988	-	FAIM2
chr12	50354839	50356163	+	AQP5
chr12	50418935	50419400	-	RACGAP1
chr12	50451197	50451943	+	ASIC1
chr12	50478886	50479329	+	SMARCD1
chr12	50505138	50506235	+	COX14
chr12	50560726	50561386	-	CERS5
chr12	50794549	50794920	+	LARP4
chr12	50898621	50899164	+	DIP2B
chr12	51157498	51158842	+	ATF1
chr12	51236633	51236924	+	TMPRSS12
chr12	51419640	51420347	-	SLC11A2
chr12	51441598	51442187	+	LETMD1
chr12	51476859	51477552	-	CSRNP2
chr12	51566680	51567072	-	TFCP2
chr12	51610892	51611724	-	POU6F1
chr12	51632489	51633162	+	DAZAP2
chr12	51663404	51664411	-	SMAGP
chr12	51785279	51785821	+	SLC4A8
chr12	51818460	51819166	+	SLC4A8
chr12	51984474	51985284	+	SCN8A
chr12	52300801	52301583	+	ACVRL1
chr12	52345531	52345903	+	ACVR1B
chr12	52400467	52401696	+	GRASP
chr12	52417018	52417703	+	NR4A1
chr12	52430519	52431598	+	NR4A1
chr12	52444553	52445421	+	NR4A1
chr12	52463348	52464202	+	ATG101
chr12	52473350	52474178	+	OR7E47P
chr12	52626793	52627577	+	KRT7
chr12	52684945	52685222	-	KRT81
chr12	52695727	52696004	+	KRT86
chr12	52714800	52715051	-	KRT83
chr12	52760834	52761099	-	KRT85
chr12	52994772	52995312	-	KRT72
chr12	53342805	53343162	+	KRT18
chr12	53399872	53400896	+	EIF4B
chr12	53440579	53440840	+	TNS2
chr12	53448008	53448406	-	LOC283335
chr12	53472814	53473491	-	SPRYD3
chr12	53491572	53491955	+	IGFBP6
chr12	53574025	53575150	+	ZNF740
chr12	53613716	53615103	-	RARG
chr12	53625629	53625993	-	RARG
chr12	53645719	53646071	+	MFSD5
chr12	53661928	53662429	+	ESPL1
chr12	53689227	53689570	+	PFDN5
chr12	53693441	53694028	+	C12orf10
chr12	53715133	53715516	-	AAAS
chr12	53738546	53738986	-	SP7
chr12	53774336	53774603	+	SP1
chr12	53835295	53835568	+	PRR13
chr12	53845668	53846606	+	PCBP2
chr12	53893195	53893610	-	MAP3K12
chr12	53894450	53895313	+	TARBP2
chr12	54019812	54020283	-	ATF7
chr12	54069625	54070177	-	ATP5G2
chr12	54144562	54145470	-	CISTR
chr12	54332805	54333731	+	HOXC13
chr12	54348695	54349378	+	HOXC12
chr12	54366815	54369103	+	HOXC11
chr12	54378696	54380102	+	HOXC10
chr12	54393374	54394648	+	HOXC9
chr12	54402682	54403347	+	HOXC8
chr12	54427025	54428709	+	HOXC5
chr12	54447744	54448091	+	HOXC4
chr12	54475512	54475816	-	LOC100240735
chr12	54519768	54520457	+	LOC400043
chr12	54673322	54673550	+	HNRNPA1
chr12	54784900	54785238	-	ZNF385A
chr12	54812702	54813191	+	LOC102724050
chr12	54981933	54982591	-	PPP1R1A
chr12	56101212	56101600	-	ITGA7
chr12	56109798	56110298	+	BLOC1S1
chr12	56122017	56123186	-	CD63
chr12	56136783	56137784	+	GDF11
chr12	56211325	56211553	+	ORMDL2
chr12	56223263	56223598	+	TMEM198B
chr12	56320739	56321628	-	PYM1
chr12	56325774	56326223	+	DGKA
chr12	56360467	56360909	+	CDK2
chr12	56367636	56368172	+	RAB5B
chr12	56435573	56436406	+	RPS26
chr12	56472792	56474393	+	ERBB3
chr12	56497868	56499047	+	PA2G4
chr12	56511861	56512409	+	ZC3H10
chr12	56522240	56522454	+	ESYT1
chr12	56546192	56546411	+	MYL6B
chr12	56583406	56583682	-	SMARCC2
chr12	56615523	56615767	-	RNF41
chr12	56617995	56618374	+	NABP2
chr12	56651692	56652527	-	ANKRD52
chr12	56660442	56661131	+	COQ10A
chr12	56693680	56694345	-	CS
chr12	56709458	56710110	-	CNPY2
chr12	56727661	56727996	-	PAN2
chr12	56753861	56754323	-	STAT2
chr12	56842846	56843255	-	TIMELESS
chr12	56881401	56882702	-	GLS2
chr12	57023296	57024233	-	BAZ2A
chr12	57039047	57039823	-	SNORD59A
chr12	57081290	57082445	-	PTGES3
chr12	57118977	57119374	-	NACA
chr12	57145948	57146333	-	PRIM1
chr12	57399868	57400226	-	ZBTB39
chr12	57472274	57472619	-	NEMP1
chr12	57480797	57483116	+	NAB2
chr12	57521524	57522159	+	LRP1
chr12	57609976	57611168	+	NXPH4
chr12	57623420	57623903	+	SHMT2
chr12	57631932	57634578	-	NDUFA4L2
chr12	57853715	57853973	+	GLI1
chr12	57881750	57882035	+	MARS
chr12	57913807	57914034	-	MIR616
chr12	57916322	57916810	+	MBD6
chr12	57940563	57940981	-	DCTN2
chr12	57943662	57943926	+	KIF5A
chr12	57984776	57985302	+	PIP4K2C
chr12	58003880	58004249	+	ARHGEF25
chr12	58013171	58013652	+	SLC26A10
chr12	58014708	58015697	-	LOC101927583
chr12	58025661	58027056	-	B4GALNT1
chr12	58087531	58088029	+	OS9
chr12	58119909	58121551	+	AGAP2-AS1
chr12	58130870	58132047	-	AGAP2
chr12	58145853	58146360	-	CDK4
chr12	58148888	58149781	+	MARCH9
chr12	58158855	58160000	-	CYP27B1
chr12	58165563	58165962	+	METTL21B
chr12	58238840	58241046	-	CTDSP2
chr12	58329723	58330004	-	LOC100506844
chr12	59313559	59314452	-	LRIG3
chr12	59989651	59990507	+	SLC16A7
chr12	62584768	62586268	-	FAM19A2
chr12	62653865	62654677	+	USP15
chr12	62860383	62860855	+	MON2
chr12	62996159	62997632	+	MIRLET7I
chr12	63328143	63329135	-	PPM1H
chr12	64061836	64062774	-	DPY19L2
chr12	64173448	64174238	+	TMEM5
chr12	64215499	64215990	-	TMEM5-AS1
chr12	64237403	64238401	+	SRGAP1
chr12	64615824	64616386	-	C12orf66
chr12	64784010	64784664	-	C12orf56
chr12	64797934	64798944	+	XPOT
chr12	64845599	64846314	+	TBK1
chr12	65003793	65004899	+	RASSF3
chr12	65152869	65153489	-	GNS
chr12	65218245	65219143	+	TBC1D30
chr12	65514878	65515863	-	WIF1
chr12	65563195	65564396	+	LEMD3
chr12	65672391	65673250	+	MSRB3
chr12	66217627	66220181	+	HMGA2
chr12	66524464	66524792	+	LLPH-AS1
chr12	66563202	66563945	-	TMBIM4
chr12	66582695	66583345	+	IRAK3
chr12	67663041	67664047	+	CAND1
chr12	68042166	68043876	+	DYRK2
chr12	68725847	68726475	-	MDM1
chr12	69004220	69005377	+	RAP1B
chr12	69080580	69081152	+	NUP107
chr12	69139815	69140206	+	SLC35E3
chr12	69201622	69202663	+	MDM2
chr12	69327021	69327532	-	CPM
chr12	69633272	69634095	+	CPSF6
chr12	69753445	69754088	+	YEATS4
chr12	69863994	69864473	+	FRS2
chr12	69979065	69979724	+	CCT2
chr12	70132340	70133559	+	RAB3IP
chr12	70636617	70637749	+	CNOT2
chr12	70759437	70761052	+	KCNMB4
chr12	71003624	71004057	-	PTPRB
chr12	71833192	71834389	+	LGR5
chr12	72056768	72057787	+	THAP2
chr12	72079789	72080261	+	TMEM19
chr12	72148477	72149340	+	RAB21
chr12	72233323	72233635	+	TBC1D15
chr12	72665683	72667551	+	TRHDE
chr12	74931492	74931879	+	ATXN7L3B
chr12	75602991	75603344	-	KCNC2
chr12	75723829	75724206	-	CAPS2
chr12	75784799	75785241	+	GLIPR1L2
chr12	75905219	75905518	-	KRR1
chr12	76424634	76426316	-	PHLDA1
chr12	76477717	76479131	-	NAP1L1
chr12	76741909	76742286	-	BBS10
chr12	76952707	76953830	-	OSBPL8
chr12	77157518	77158405	+	ZDHHC17
chr12	77272632	77273216	-	CSRP2
chr12	77458947	77459942	-	E2F7
chr12	80083531	80085154	-	PAWR
chr12	80328326	80329302	-	PPP1R12A
chr12	81102034	81102716	+	MYF6
chr12	81110725	81111126	+	MYF5
chr12	81330608	81331514	-	LIN7A
chr12	81471569	81472119	+	ACSS3
chr12	82152320	82152674	-	PPFIA2
chr12	82752004	82752746	+	METTL25
chr12	83080662	83081646	+	TMTC2
chr12	85305663	85305876	-	SLC6A15
chr12	85673878	85674700	+	ALX1
chr12	88429105	88429606	+	C12orf29
chr12	88535735	88536148	+	TMTC3
chr12	88973460	88974666	-	KITLG
chr12	89745168	89748144	-	DUSP6
chr12	89919012	89919904	-	POC1B-GALNT4
chr12	90101436	90104065	+	LINC00936
chr12	91347804	91348096	-	CCER1
chr12	92538710	92540333	+	LOC101928617
chr12	93322342	93323498	-	EEA1
chr12	93771465	93772289	+	NUDT4
chr12	93834935	93836089	-	UBE2N
chr12	93861204	93861539	+	MRPL42
chr12	93963963	93967395	+	SOCS2
chr12	94071293	94071655	+	CRADD
chr12	94541727	94544000	+	PLXNC1
chr12	94853336	94854307	+	CEP83-AS1
chr12	95043551	95044312	-	TMCC3
chr12	95397382	95397611	-	NDUFA12
chr12	95466650	95467464	-	NR2C1
chr12	95610834	95611997	+	VEZT
chr12	95867584	95868019	+	METAP2
chr12	95941906	95942979	-	USP44
chr12	96183873	96185199	-	NTN4
chr12	96252020	96252246	+	SNRPF
chr12	96336245	96337411	+	AMDHD1
chr12	96389405	96389675	-	HAL
chr12	96429014	96429509	-	LTA4H
chr12	96587839	96588090	+	ELK3
chr12	96793191	96794530	-	CDK17
chr12	96883286	96883737	+	CFAP54
chr12	97300802	97301287	+	NEDD1
chr12	98850690	98851002	-	SLC9A7P1
chr12	98897604	98897849	-	LOC643770
chr12	98909052	98910261	+	TMPO
chr12	98987193	98988203	+	SLC25A3
chr12	99038272	99039483	+	APAF1
chr12	99288222	99289374	-	ANKS1B
chr12	100378243	100378582	-	ANKS1B
chr12	100535916	100536620	-	UHRF1BP1L
chr12	100593253	100593814	+	ACTR6
chr12	100660748	100661646	+	SCYL2
chr12	100967293	100967845	+	GAS2L3
chr12	101603387	101603933	-	SLC5A8
chr12	101673790	101674156	+	UTP20
chr12	101801047	101802153	-	ARL1
chr12	102091044	102092366	+	CHPT1
chr12	102132753	102133415	-	SYCP3
chr12	102224262	102224614	-	GNPTAB
chr12	102270754	102271801	+	DRAM1
chr12	102455420	102455983	-	CCDC53
chr12	102513668	102514076	+	PARPBP
chr12	103218120	103218688	-	LINC00485
chr12	103311040	103311253	-	PAH
chr12	103351579	103352695	+	ASCL1
chr12	103889148	103889843	+	LOC105369945
chr12	104234273	104235327	-	NT5DC3
chr12	104323017	104324811	+	HSP90B1
chr12	104350503	104351069	-	C12orf73
chr12	104359406	104360023	+	TDG
chr12	104457766	104459087	+	HCFC2
chr12	104531174	104532539	-	NFYB
chr12	104609397	104610172	+	TXNRD1
chr12	104680737	104681096	+	TXNRD1
chr12	104697348	104697984	+	EID3
chr12	104850253	104852395	+	CHST11
chr12	105379976	105380445	+	C12orf45
chr12	105478089	105478517	-	ALDH1L2
chr12	105501333	105501908	+	KIAA1033
chr12	105629690	105630099	-	APPL2
chr12	105724272	105725052	+	C12orf75
chr12	106532106	106533696	-	NUAK1
chr12	106640880	106642374	-	CKAP4
chr12	106696232	106697199	+	TCP11L2
chr12	106751416	106751965	+	POLR3B
chr12	106975195	106975714	+	RFX4
chr12	107167762	107168747	+	RIC8B
chr12	107349152	107350089	+	TMEM263
chr12	107380558	107381076	-	MTERF2
chr12	107486612	107487811	-	CRY1
chr12	107711603	107714107	+	BTBD11
chr12	107974842	107975305	+	BTBD11
chr12	108079442	108079893	+	PWP1
chr12	108154394	108155137	-	PRDM4
chr12	108168986	108169570	+	ASCL4
chr12	108297426	108297743	-	LOC728739
chr12	108522950	108523852	+	WSCD2
chr12	108908702	108909475	+	FICD
chr12	108954495	108955023	+	ISCU
chr12	109124224	109125964	-	CORO1C
chr12	109251205	109251586	-	SSH1
chr12	109490238	109490673	+	USP30
chr12	109531107	109531359	-	ALKBH2
chr12	109535264	109536431	+	UNG
chr12	109746826	109748378	-	FOXN4
chr12	109915131	109915638	+	UBE3B
chr12	110010994	110011599	+	MVK
chr12	110151327	110152758	+	FAM222A
chr12	110271000	110271582	+	MIR4497
chr12	110318011	110318778	-	GLTP
chr12	110337980	110338591	+	TCHP
chr12	110433797	110434205	-	GIT2
chr12	110437137	110437651	+	ANKRD13A
chr12	110562095	110562700	+	IFT81
chr12	110718392	110720062	+	ATP2A2
chr12	110841021	110841548	-	ANAPC7
chr12	110887861	110888245	-	ARPC3
chr12	110905879	110907183	+	FAM216A
chr12	110939456	110940173	+	RAD9B
chr12	111020507	111021192	-	PPTC7
chr12	111051693	111052150	+	TCTN1
chr12	111126611	111127347	-	HVCN1
chr12	111180006	111181028	-	PPP1CC
chr12	111471061	111471578	+	CUX2
chr12	111806559	111807060	-	FAM109A
chr12	111842938	111844392	+	SH2B3
chr12	112035612	112037558	-	ATXN2
chr12	112123246	112124059	+	ACAD10
chr12	112204498	112204979	+	ALDH2
chr12	112279692	112280714	+	MAPKAPK5
chr12	112450905	112451856	+	ERP29
chr12	112546147	112546706	-	NAA25
chr12	112563184	112563788	+	TRAFD1
chr12	112819039	112819250	-	HECTD4
chr12	112846955	112847200	-	RPL6
chr12	112856457	112857243	+	PTPN11
chr12	113376185	113376493	+	OAS3
chr12	113494389	113495534	+	DTX1
chr12	113572977	113573758	-	RASAL1
chr12	113622761	113623931	+	RITA1
chr12	113659038	113659657	+	TPCN1
chr12	113772633	113772934	-	SLC8B1
chr12	113796217	113796847	+	PLBD2
chr12	113908887	113910681	+	LHX5-AS1
chr12	114404002	114404377	-	RBM19
chr12	114843022	114843610	-	TBX5
chr12	114845861	114847650	+	TBX5-AS1
chr12	115120774	115122945	-	TBX3
chr12	117175623	117176436	+	RNFT2
chr12	117318708	117319521	-	HRK
chr12	117348645	117349207	+	FBXW8
chr12	117536290	117537421	+	TESC-AS1
chr12	117627650	117628488	-	FBXO21
chr12	117798076	117799448	-	NOS1
chr12	118406590	118407364	-	KSR2
chr12	118454391	118454996	+	RFC5
chr12	118499103	118499473	-	WSB2
chr12	118541054	118542135	-	VSIG10
chr12	118573730	118574731	+	PEBP1
chr12	118809324	118811021	-	TAOK3
chr12	118814014	118814839	+	SUDS3
chr12	119418591	119418834	+	SRRM4
chr12	119772353	119772594	+	CCDC60
chr12	120031494	120033212	+	TMEM233
chr12	120105502	120106232	+	PRKAB1
chr12	120314847	120315169	-	CIT
chr12	120426547	120428066	+	CCDC64
chr12	120554162	120555224	-	RAB35
chr12	120632222	120632784	-	GCN1
chr12	120638588	120639116	+	PXN-AS1
chr12	120702976	120703541	-	PXN
chr12	120806251	120807026	-	MSI1
chr12	120875654	120876366	+	COX6A1
chr12	120884047	120884703	+	GATC
chr12	120906678	120907894	+	DYNLL1
chr12	120933649	120934713	+	DYNLL1
chr12	120966788	120967038	-	COQ5
chr12	120972167	120972447	+	RNF10
chr12	121018728	121019369	-	POP5
chr12	121078161	121079483	+	CABP1
chr12	121124111	121125479	+	MLEC
chr12	121148239	121148853	+	UNC119B
chr12	121163472	121163913	+	ACADS
chr12	121341414	121342436	+	XLOC_009911
chr12	121416485	121416817	+	HNF1A
chr12	121454153	121454357	-	C12orf43
chr12	121647705	121648216	+	P2RX4
chr12	121711846	121712162	-	CAMKK2
chr12	121734045	121735169	-	CAMKK2
chr12	121789970	121790274	-	ANAPC5
chr12	121837380	121838396	+	RNF34
chr12	121882191	121882416	-	MIR7107
chr12	122016170	122017693	-	KDM2B
chr12	122018170	122018457	-	KDM2B
chr12	122064176	122065142	+	ORAI1
chr12	122150513	122151091	+	TMEM120B
chr12	122230903	122232359	-	RHOF
chr12	122240899	122243390	+	SETD1B
chr12	122326482	122327044	+	PSMD9
chr12	122356315	122356853	+	WDR66
chr12	122516193	122517207	+	MLXIP
chr12	122667648	122668038	+	LRRC43
chr12	122687800	122689106	+	B3GNT4
chr12	122710054	122711371	+	LOC101593348
chr12	122750769	122751228	-	VPS33A
chr12	122906404	122907011	-	CLIP1
chr12	122984995	122985644	-	ZCCHC8
chr12	123011261	123011765	+	KNTC1
chr12	123236994	123237664	+	DENR
chr12	123319750	123321043	+	HIP1R
chr12	123380333	123380894	-	VPS37B
chr12	123450868	123451207	-	ABCB9
chr12	123459151	123460032	+	OGFOD2
chr12	123464820	123465972	+	ARL6IP4
chr12	123717367	123718388	+	C12orf65
chr12	123754049	123754373	-	CDK2AP1
chr12	123755246	123756408	-	CDK2AP1
chr12	123848617	123849919	-	MIR8072
chr12	123868267	123869381	+	KMT5A
chr12	123920582	123921462	-	RILPL2
chr12	123942639	123943001	+	SNRNP35
chr12	124017593	124018994	-	RILPL1
chr12	124068935	124069699	+	TMED2
chr12	124086217	124087015	+	DDX55
chr12	124118097	124118479	+	GTF2H3
chr12	124155578	124156171	+	TCTN2
chr12	124196646	124197507	+	ATP6V0A2
chr12	124246524	124247254	+	DNAH10
chr12	124456573	124458728	+	ZNF664-FAM101A
chr12	124821019	124821593	-	MIR6880
chr12	125050796	125052051	-	NCOR2
chr12	125347784	125348688	-	SCARB1
chr12	125398558	125399899	+	MIR5188
chr12	125473414	125473824	-	DHX37
chr12	125478162	125478849	+	BRI3BP
chr12	125549672	125550311	+	AACS
chr12	128751041	128753151	+	TMEM132C
chr12	129307947	129308724	-	SLC15A4
chr12	129337870	129338653	+	GLT1D1
chr12	130387609	130389139	-	TMEM132D
chr12	130526915	130527117	-	LOC100190940
chr12	130645327	130648988	+	FZD10
chr12	130822360	130822696	+	PIWIL1
chr12	131323203	131323959	-	STX2
chr12	131356094	131357228	+	RAN
chr12	131649194	131649608	+	LINC01257
chr12	131783093	131784199	-	LOC107161159
chr12	132195034	132196454	+	SFSWAP
chr12	132312439	132315739	+	MMP17
chr12	132379542	132380052	+	ULK1
chr12	132413338	132414801	+	PUS1
chr12	132434352	132435241	+	EP400
chr12	132568607	132569715	+	EP400NL
chr12	132627866	132629469	+	NOC4L
chr12	132689880	132690197	-	GALNT9
chr12	132905449	132906206	+	LOC101928416
chr12	133065843	133066393	+	FBRSL1
chr12	133159225	133160576	+	MIR6763
chr12	133186737	133187103	-	LRCOL1
chr12	133194868	133195544	+	P2RX2
chr12	133263462	133264711	+	PXMP2
chr12	133286760	133287992	+	PGAM5
chr12	133337981	133338989	-	ANKLE2
chr12	133404789	133405985	-	GOLGA3
chr12	133463807	133464858	+	LOC101928530
chr12	133532642	133532979	-	ZNF605
chr12	133562710	133563453	+	ZNF26
chr12	133613765	133614525	+	ZNF84
chr12	133656704	133657813	+	ZNF140
chr12	133706528	133707594	+	ZNF10
chr12	133757946	133758188	+	ZNF268
chr12	133812403	133813102	-	ANHX
chr13	19918585	19919221	+	LINC00421
chr13	20135399	20136041	-	TPTE2
chr13	20207461	20208252	+	MPHOSPH8
chr13	20356147	20357234	-	PSPC1
chr13	20436776	20439089	-	ZMYM5
chr13	20531548	20533630	+	ZMYM2
chr13	20735043	20736157	-	GJA3
chr13	20766208	20767779	-	GJB2
chr13	20806016	20806867	-	GJB6
chr13	21099568	21100443	-	CRYL1
chr13	21140951	21141719	+	IFT88
chr13	21277233	21278446	+	IL17D
chr13	21347443	21348257	-	EEF1AKMT1
chr13	21476759	21477384	-	XPO4
chr13	21634519	21635907	-	LATS2
chr13	21714289	21715115	+	SAP18
chr13	21750287	21751332	+	MRPL57
chr13	21872179	21872665	+	MIPEPP3
chr13	22032862	22033730	-	ZDHHC20
chr13	22177803	22178452	-	MICU2
chr13	22243259	22245362	+	FGF9
chr13	23471763	23471969	-	BASP1P1
chr13	23949134	23949940	-	SACS
chr13	24152899	24154140	+	TNFRSF19
chr13	24463119	24463677	+	C1QTNF9B-AS1
chr13	24553676	24554007	+	SPATA13
chr13	24734771	24735538	+	SPATA13
chr13	24882098	24882951	+	C1QTNF9
chr13	25086522	25087067	-	PARP4
chr13	25254393	25255093	+	ATP12A
chr13	25496588	25497299	-	CENPJ
chr13	25670041	25670531	+	PABPC3
chr13	25743998	25746127	-	AMER2
chr13	25861234	25861794	-	MTMR6
chr13	25874994	25876200	+	NUP58
chr13	25945993	25946953	+	ATP8A2
chr13	26042693	26043486	+	ATP8A2
chr13	26624725	26626265	-	SHISA2
chr13	26795809	26796712	-	RNF6
chr13	26827936	26829103	+	CDK8
chr13	27131568	27132677	+	WASF3
chr13	27334226	27335205	-	GPR12
chr13	27825351	27826049	+	RPL21
